state,1920,1930,1940,1950,1965,1980,1998
Alabama,0,0,0,0,0,0.03634974,0.569670808
Alaska,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0
Connecticut,0,0,0.170393307,0.475057717,0.475057717,0.475057717,0.475057717
Delaware,0,0.198493748,0.198493748,0.198493748,0.198493748,0.198493748,0.198493748
Florida,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0.19383998,0.484059935
Hiwaii,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0.844334452
Indiana,0,0,0,0,0,0,0.96883428
Iowa,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0.019517396,0.564582976,0.937335074
Louisiana,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0.040935177,0.164679637
Maryland,0,0,0.255726724,0.290382083,0.343239149,0.343239149,0.343239149
Massachusetts,0,0,0,0.511345278,0.511345278,0.511345278,0.511345278
Michigan,0,0,0,0,0,0,0.187431064
Minnesota,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0.000947867
Montana,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0
New Hampshire,0,0,0,0.173418048,0.678169493,0.678169493,0.678169493
New Jersey,0.184943771,0.513250178,0.513250178,0.513250178,0.513250178,0.513250178,0.513250178
New Mexico,0,0,0,0,0,0,0
New York,0,0.000617373,0.078833336,0.425802764,0.597543442,0.617552536,0.617552536
North Carolina,0,0,0,0.381753695,0.688399041,0.753042302,0.753042302
North Dakota,0,0,0,0,0,0,0
Ohio,0,0,0,0,0.054889411,0.726818954,0.849626134
Oklahoma,0,0,0,0,0,0,0.008508841
Oregon,0,0,0,0,0,0,0
Pennsylvania,0.031319132,0.182488188,0.385782503,0.654988018,0.928815484,0.966165332,0.966165332
Rhode Island,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0.377252857,0.701413319,0.761623136
South Dakota,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0.064542178,0.422935295,0.700459214
Texas,0,0,0,0,0,0,0.007460994
Utah,0,0,0,0,0,0,0
Vermont,0,0,0,0.153459849,0.581584781,0.762580563,0.762580563
Virginia,0,0,0.037019798,0.586221133,0.810114308,0.820515705,0.820515705
Washington,0,0,0,0,0,0,0
District of Columbia,0,0,1,1,1,1,1
West Virginia,0,0,0,0.144431257,0.948624331,1,1
Wisconsin,0,0,0,0,0,0,0.137602787
Wyoming,0,0,0,0,0,0,0
