state,1935,1950,1960,1975,1990,1999,2001,2002,2003,2007,2008,2009,2010
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,1,1,1,1,1,1,1,1,1,1,1
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0
Hiwaii,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0.152066207,0.955130507,1,1,1,1,1,1,1,1,1,1,1
Maryland,0,0,0,0,0,0,0,0.052857066,0.052857066,0.052857066,0.052857066,0.052857066,0.052857066
Massachusetts,0.011390531,0.011390531,0.924712217,1,1,1,1,1,1,1,1,1,1
Michigan,0,0,0,0,0,0,0.160794659,0.182515035,0.201706049,0.201706049,0.201706049,0.379988979,0.385962096
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0.1061522,1,1,1,1,1,1,1,1,1,1,1
New Jersey,0,0,0,0.243210426,0.467832311,0.467832311,0.467832311,0.467832311,0.467832311,0.467832311,0.467832311,0.467832311,0.561822073
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0.003653929,0.003653929,0.352649143,1,1,1,1,1,1,1,1,1,1
North Carolina,0,0,0,0,0,0.020350937,0.020350937,0.042562121,0.05882137,0.080004561,0.084598235,0.112631309,0.112631309
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0.021844596,0.086914858,0.086914858,0.114700985,0.12407362,0.12407362,0.12407362
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,0.174974804,0.351120641,0.351120641,0.744904587,0.744904587,0.744904587,0.754546326,0.754546326,0.754546326,0.754546326
Rhode Island,0,0,1,1,1,1,1,1,1,1,1,1,1
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0.014182745,0.024697293,0.024697293,0.038140257,0.046388937,0.046388937,0.066298073,0.066298073
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0.843396863,1,1,1,1,1,1,1,1,1,1
Virginia,0,0,0,0,0,0.009721767,0.009721767,0.036486207,0.036486207,0.072316519,0.072316519,0.072316519,0.072316519
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0.156780149,0.156780149,0.156780149,0.319853494,0.360044135,0.360044135,0.360044135,0.360044135
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0
