state,1962,1965,1968,1971,1974,1977,1979
Alabama,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0.321369261,0.920795373,0.920795373
Delaware,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0
Hiwaii,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0
Illinois,0,0,0.092754824,0.644282083,0.893848734,0.893848734,0.893848734
Indiana,0.012668616,0.426317424,0.707818474,0.909183904,0.951630111,0.951630111,0.951630111
Iowa,0,0,0,0,0.040710856,0.040710856,0.040710856
Kansas,0,0,0,0,0,0,0
Kentucky,0,0,0.168449585,0.744443837,0.865552369,0.865552369,0.865552369
Louisiana,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0
Maryland,0,0,0,0.249152708,0.409179397,0.409179397,0.409179397
Massachusetts,0,0,0,0,0.089671529,0.419698109,0.419698109
Michigan,0.016525259,0.283113997,0.360685426,0.360685426,0.360685426,0.360685426,0.360685426
Minnesota,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0
Missouri,0,0,0,0.027512113,0.043305031,0.043305031,0.043305031
Montana,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0.334763101,0.334763101
New Jersey,0,0,0,0.091748045,0.599525717,0.633620855,0.633620855
New Mexico,0,0,0,0,0,0,0
New York,0,0,0.024241359,0.197412273,0.632766392,0.64169604,0.64169604
North Carolina,0,0,0,0,0.041443589,0.218526676,0.234884848
North Dakota,0,0,0,0,0,0,0
Ohio,0,0.400108751,0.849626134,0.849626134,0.849626134,0.849626134,0.849626134
Oklahoma,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0
Pennsylvania,0,0,0.351053681,0.958927978,0.966165332,0.966165332,0.966165332
Rhode Island,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0.152748081,0.23919182,0.23919182
Texas,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0
Vermont,0,0,0,0,0.168716391,0.501680959,0.501680959
Virginia,0,0,0,0.33719348,0.588246269,0.81841196,0.818719466
Washington,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,1,1,1
West Virginia,0,0,0.377086639,0.957213969,1,1,1
Wisconsin,0,0,0,0,0.019889166,0.019889166,0.084740734
Wyoming,0,0,0,0,0,0,0
